"","ensembl_gene_id","external_gene_name","log2FoldChange.04h_RNA","log2FoldChange.08h_RNA","log2FoldChange.14h_RNA","padj.04h_RNA","padj.08h_RNA","padj.14h_RNA","cluster"
"51","ENSG00000159086","PAXBP1",-0.307092106401069,-0.192429085785087,1.36924134652445,0.227157727835702,0.455674309273974,2.50246407831769e-12,"3"
"52","ENSG00000184792","OSBP2",0.000749562924657229,-1.18971449728255,-2.65964506315552,0.999513010903605,3.41227404492601e-16,2.13116079599036e-43,"4"
"53","ENSG00000125845","BMP2",-0.0669684621543795,1.28784504231113,1.55830509936002,0.87864627270162,0.00257316753049347,0.000261126050486476,"3"
"54","ENSG00000139737","SLAIN1",0.076010603673202,3.25161903975158,4.69336731028668,0.599595118625752,0.0044978260094555,0.000102322234521209,"2"
"55","ENSG00000125898","FAM110A",0.0287439586807001,-0.602534468102412,-2.2277405268486,0.962258848148798,0.168430231190445,0.000190698725891164,"4"
"56","ENSG00000205726","ITSN1",0.201785640860068,0.995262919729618,1.88901299333014,0.104960777044776,3.9196313475497e-28,5.00128131143549e-104,"3"
"57","ENSG00000182957","SPATA13",1.57886293146692,-0.130093677467667,-0.320349846179287,5.2820785162249e-06,0.781025124850932,0.451484717306131,"4"
"58","ENSG00000088826","SMOX",-0.575973149650317,-1.00738542099295,1.1227625852551,0.00124954198421286,1.03760900712864e-08,1.20459686688689e-13,"3"
"59","ENSG00000132661","NXT1",-0.376134275495953,-0.434536502299439,-1.74087080151321,0.131525941758621,0.0681938698095996,5.76262298833389e-11,"4"
"60","ENSG00000275004","ZNF280B",0.549520327115873,2.07404036285812,2.46390155595656,0.00821837651357509,2.97622228036127e-33,6.94511486701767e-47,"3"
"61","ENSG00000188811","NHLRC3",0.155081386636157,-0.106180358210962,-1.49412001593736,0.645152645950506,0.732809770893069,1.09652252013229e-07,"4"
"62","ENSG00000100077","GRK3",0.158358830277825,0.312443116780124,1.07762951259945,0.68457929083421,0.38508919512861,0.000398575143822905,"3"
"63","ENSG00000065150","IPO5",0.0579943303720434,0.390023281174712,1.10996165466556,0.622775178099858,2.05426160260751e-10,8.28032479299896e-80,"3"
"64","ENSG00000125844","RRBP1",-0.260762737111678,-0.908075834967495,-1.5737214913899,0.20246697951075,1.82964472628148e-08,1.82657829637451e-22,"4"
"65","ENSG00000221963","APOL6",-0.0548346050725078,-1.10230362187761,-2.44332457416319,0.856350567589327,3.10878606197527e-14,1.27183545951836e-39,"4"
"66","ENSG00000185721","DRG1",-0.0535327343197727,0.280950035412207,1.15237370228516,0.844174595244912,0.0264965753382236,5.76950121440211e-26,"3"
"67","ENSG00000128283","CDC42EP1",-1.1121319030776,-2.78658275273166,-2.65732606383739,1.53403216183035e-14,1.39930514952197e-59,6.18612344543081e-51,"5"
"68","ENSG00000100219","XBP1",-0.775534997384297,-0.901144359394104,-2.18784683484098,5.69470688766727e-12,9.5701109428651e-16,4.38421590369228e-59,"4"
"69","ENSG00000125848","FLRT3",1.78497902535362,2.08181464824581,3.92722542278631,9.9448055246982e-16,5.40040943080575e-22,2.84358697187461e-83,"2"
"70","ENSG00000136160","EDNRB",1.20963424955773,2.70753787730824,3.31031445751519,0.000117161156265664,5.41304438935693e-22,5.51216196920412e-33,"2"
"71","ENSG00000152484","USP12",0.186262384790675,1.16015142171979,1.90495706354291,0.272676975808267,9.60548686078242e-24,9.16516042065588e-64,"3"
"72","ENSG00000136153","LMO7",-0.0503644957380467,-1.01938981236547,-1.58339509136023,0.705236894874652,1.00561446672769e-55,1.08626416816501e-118,"4"
"73","ENSG00000089195","TRMT6",0.18119509624547,1.4672176326623,2.30118211256139,0.401058846802343,1.15593456835497e-28,3.65222357500009e-72,"3"
